WOGetLiveTestsCount
WOAdduser
WOCandidateTestStatus
WOCreateQuestionSet
WOCreateTest
WOGetActiveTestCount
WOCheckDropped
WODescScoreCalculate
WOGetCandidateInfo
WOGetCandidatesCount
WOCreateMultipleTest
WOGetCandidateEmotionsScore
WOGetCandidateDescriptiveScore
WOCandidateAgeAndGender
WOGetCandidateMCQScore
WOAddOrganization
WODeleteQuestion
WOCreateQuestion
WOCopyQuestionSet
WOAnswerSubmission


